CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,lon_x1,lat_y1,lon_x2,lat_y2
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20191026,Cleanup,41.68142943,42.10989551,41.68168685,42.10946759
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20190831,Cleanup,41.68142943,42.10989551,41.68168685,42.10946759
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20200811,Cleanup,41.68142943,42.10989551,41.68168685,42.10946759
Surfrider Foundation Europe,"Piscine, 63 Avenue de la Combattante, 14470 Courseulles-sur-Mer, France",FR,North-east Atlantic Ocean,72,,,20150322,Cleanup,-0.451883,49.3353,-0.450883,49.3353
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20151203,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20151008,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20150902,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20160310,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
Surfrider Foundation Europe,"12 Promenade Pierre D?port, 14150 Ouistreham, France",FR,North-east Atlantic Ocean,72,,,20150403,Cleanup,-0.245513,49.2794,-0.244513,49.2794
Surfrider Foundation Europe,"Avenue Lieutenant colonel faro, 19000 Tulle, France",Int,,78,,,20150321,Cleanup,1.7717,45.2657,1.7727,45.2657
gBqsPxAZ,silver strand 1000,IE,North-east Atlantic Ocean,446,,,20160429,Cleanup,-9.885489777,53.64597936,-9.888752115,53.64950231
gBqsPxAZ,silver strand 1000,IE,North-east Atlantic Ocean,446,,,20150711,Cleanup,-9.885489777,53.64597936,-9.888752115,53.64950231
gBqsPxAZ,silver strand 1000,IE,North-east Atlantic Ocean,446,,,20150407,Cleanup,-9.885489777,53.64597936,-9.888752115,53.64950231
Surfrider Foundation Europe,"2736 Boulevard de la Marine, 83400 Hy_es, France",FR,Mediterranean Sea,81,,,20150912,Cleanup,6.17129,43.1006,6.17229,43.1006
Black Sea Eco Academy,BEACH Tsikhisdziri nearby fortress Petra,GE,Black Sea,100,Urban,Pebbels,20210611,Monitoring,41.75355933,41.77010701,41.75270145,41.76945086
Surfrider Foundation Europe,"Carretera Cartagena Los Alc_ares, 30710 Los Alc_ares, Espagne",ES,Mediterranean Sea,90,,,20160221,Cleanup,-0.861234,37.7213,-0.860234,37.7213
Surfrider Foundation Europe,"1 Parco del Conero, 60020 Sirolo, Italie",IT,Mediterranean Sea,81,,,20150419,Cleanup,13.617,43.5326,13.618,43.5326
Black Sea NGO Network || MELTEMI,Bolata,BG,Black Sea,166,Rural,Other (mixed),20150920,Cleanup,28.47044936,43.38152626,28.47198964,43.38250927
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170409,Cleanup,7.360909917,47.37098681,7.360815605,47.37111893
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170627,Cleanup,7.360909917,47.37098681,7.360815605,47.37111893
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170509,Cleanup,7.360909917,47.37098681,7.360815605,47.37111893
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20151011,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
Marnoba,"Berria, Cantabria",ES,North-east Atlantic Ocean,100,Rural,Sandy,20181204,Cleanup,-3.465278,43.46361,-3.464278,43.46361
Aarhus University - Denmark,"Parcelg_d strandeng, Roskilde Vig",DK,North-east Atlantic Ocean,98,Rural,Other (mixed),20200419,Monitoring,12.05727307,55.66405885,12.0563036,55.66336817
Surfrider Foundation Europe,"65 Avenue des Bouchots, 85360 La Tranche-sur-Mer, France",FR,North-east Atlantic Ocean,76,,,20150308,Cleanup,-1.38146,46.3424,-1.38046,46.3424
Surfrider Foundation Europe,"49 Avenue Paul Roullet, 17110 Saint-Georges-de-Didonne, France",FR,North-east Atlantic Ocean,78,,,20150425,Cleanup,-0.987636,45.5798,-0.986636,45.5798
gBqsPxAZ,goas lagorn,FR,North-east Atlantic Ocean,97,Rural,Sandy,20160513,Cleanup,-3.549283831,48.74463586,-3.549371547,48.74551038
HELMEPA - Hellenic Marine Environment Protection Association,"Freattyda, Piraeus",GR,Mediterranean Sea,281,Urban,Other (mixed),20181021,Cleanup,23.64883787,37.93061101,23.64579229,37.92984939
Plastic Change,Seden Strand,DK,Baltic Sea,286,,,20180909,Cleanup,10.44941371,55.44150527,10.45341039,55.44271596
Surfrider Foundation Europe,"29 Rue des Dunes, 17580 Le Bois-Plage-en-R, France",FR,North-east Atlantic Ocean,77,,,20151027,Cleanup,-1.39503,46.178,-1.39403,46.178
Marnoba,"Cala Salitrona, Murcia",ES,Mediterranean Sea,100,Rural,Sandy,20171001,Cleanup,-1.126450062,37.55342865,-1.125450062,37.55342865
Surfrider Foundation Europe,"33 Musurieta Auzoa, 48650 Elexalde, Espagne",ES,North-east Atlantic Ocean,81,,,20150322,Cleanup,-2.94138,43.3934,-2.94038,43.3934
gBqsPxAZ,DF Malherbe,,Unknown,187,Urban,Other (mixed),20180914,Cleanup,25.5624207,-33.97960684,25.56241141,-33.98129517
Legambiente Onlus,Torre San Marco Agropoli (SA),IT,Unknown,100,,,20180426,Monitoring,0.000134749,0.000362626,0.000134758,0.000362626
gBqsPxAZ,Clevedon,UK,North-east Atlantic Ocean,497,Urban,Sandy,20150510,Cleanup,-2.864061413,51.44071725,-2.867805707,51.43689271
Surfrider Foundation Europe,"CA-305, 39120, Cantabria, Espa?a",ES,North-east Atlantic Ocean,350,,,20190907,Cleanup,-5.7651087,43.5926851,-5.7651087,43.59268511
Surfrider Foundation Europe,"Torre de Cope, 30889 ?guilas, Murcia, Espa?a",ES,Mediterranean Sea,150,,,20190915,Cleanup,-1.4969795,37.4333592,-1.4969795,37.43335921
Surfrider Foundation Europe,ospar mutriku 2,ES,North-east Atlantic Ocean,29,Rural,Rocky,20150928,Cleanup,-2.382404813,43.31267968,-2.3820636,43.31260121
Surfrider Foundation Europe,"96 Chemin de la Pointe du si_e, 14150 Ouistreham, France",FR,North-east Atlantic Ocean,72,,,20150510,Cleanup,-0.235688,49.2752,-0.234688,49.2752
Legambiente Onlus,Piri Piri Maruggio (TA),IT,Unknown,100,,,20180427,Monitoring,0.000157361,0.000361976,0.00015737,0.000361976
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20160312,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20150904,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20151205,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
Surfrider Foundation Europe,"Avenue des Cavaliers Anglet, 64600 Anglet, France",FR,North-east Atlantic Ocean,81,,,20160127,Cleanup,-1.52669,43.5216,-1.52569,43.5216
Legambiente Onlus,"Spiaggia di Trentova, Agropoli (SA)",IT,Mediterranean Sea,100,,,20160515,Cleanup,14.97112,40.34198,14.97212,40.34198
Coder Dojo Dunmore East,Lawlors Strand,IE,North-east Atlantic Ocean,195,Urban,Sandy,20190309,Cleanup,-6.993992195,52.15399093,-6.992270629,52.15539612
Surfrider Foundation Europe,"Plage centrale , 33990 Hourtin, France",FR,North-east Atlantic Ocean,78,,,20150516,Cleanup,-1.17325,45.2158,-1.17225,45.2158
Surfrider Foundation Europe,"16 Avenue Mar_hal Joffre, 34250 Palavas-les-Flots, France",FR,Mediterranean Sea,81,,,20150607,Cleanup,3.87672,43.6108,3.87772,43.6108
Legambiente Onlus,Spiaggia Maganuco Modica (RG),IT,Unknown,100,,,20180412,Monitoring,0.000133063,0.000329831,0.000133072,0.000329831
UkrSCES Institution,Beach in the Karolino-Bugaz (1),UA,Black Sea,108,Rural,Sandy,20200309,Monitoring,30.53431,46.13759,30.5333,46.13691
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20191004,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20190703,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20191001,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
